method,decay,m,trial,estimate,true_trace,relative_error
Hutchinson,0.5,40,19,61.531994920951355,61.80100876524323,0.004352903774010392
Hutch++,0.5,40,19,61.0057883810084,61.80100876524323,0.012867433721924318
NA-Hutch++,0.5,40,19,62.022774888576414,61.80100876524323,0.0035883900241107927
Gaussian-Hutch++,0.5,40,19,61.61964893618766,61.80100876524323,0.002934577164338611
Hutchinson,0.5,40,20,61.76104652767556,61.80100876524323,0.0006466275934017771
Hutch++,0.5,40,20,60.516132287948224,61.80100876524323,0.020790542144315607
NA-Hutch++,0.5,40,20,61.443970632119424,61.80100876524323,0.005777221768014339
Gaussian-Hutch++,0.5,40,20,60.92832258025541,61.80100876524323,0.014120905183001114
Hutchinson,0.5,40,21,61.26855907155571,61.80100876524323,0.008615550204205949
Hutch++,0.5,40,21,60.81270510866793,61.80100876524323,0.01599170751936212
NA-Hutch++,0.5,40,21,60.817174552559315,61.80100876524323,0.015919387601278492
Gaussian-Hutch++,0.5,40,21,61.979755187054764,61.80100876524323,0.002892289711491868
Hutchinson,0.5,40,22,61.35638381579531,61.80100876524323,0.0071944610343961995
Hutch++,0.5,40,22,60.74858046536752,61.80100876524323,0.017029306169960092
NA-Hutch++,0.5,40,22,63.40275677420695,61.80100876524323,0.0259178295138855
Gaussian-Hutch++,0.5,40,22,62.11301261393591,61.80100876524323,0.005048523558536901
Hutchinson,0.5,40,23,62.12160898413356,61.80100876524323,0.0051876211294245396
Hutch++,0.5,40,23,61.338422755252154,61.80100876524323,0.007485088338092559
NA-Hutch++,0.5,40,23,62.26065902153933,61.80100876524323,0.007437585008395641
Gaussian-Hutch++,0.5,40,23,61.999739659227124,61.80100876524323,0.0032156577692572944
Hutchinson,0.5,40,24,62.268386265440995,61.80100876524323,0.007562619276541896
Hutch++,0.5,40,24,59.962046388824746,61.80100876524323,0.029756187045489053
NA-Hutch++,0.5,40,24,63.8565465892386,61.80100876524323,0.033260586923483944
Gaussian-Hutch++,0.5,40,24,62.07871235331502,61.80100876524323,0.004493512219625248
Hutchinson,0.5,40,25,61.03730493896014,61.80100876524323,0.012357465380283515
Hutch++,0.5,40,25,59.39878711222444,61.80100876524323,0.03887026605251461
NA-Hutch++,0.5,40,25,61.258789808812544,61.80100876524323,0.008773626309084303
Gaussian-Hutch++,0.5,40,25,62.244795449258625,61.80100876524323,0.0071808970902264265
Hutchinson,0.5,40,26,61.85720595525238,61.80100876524323,0.0009093248011957352
Hutch++,0.5,40,26,59.71051174700978,61.80100876524323,0.033826260444621434
NA-Hutch++,0.5,40,26,61.22380844903816,61.80100876524323,0.009339658490003299
Gaussian-Hutch++,0.5,40,26,61.524819895114696,61.80100876524323,0.004469002620615213
Hutchinson,0.5,40,27,61.86925540523854,61.80100876524323,0.0011042965375298265
Hutch++,0.5,40,27,60.62895219154237,61.80100876524323,0.018965007159559934
NA-Hutch++,0.5,40,27,60.01451102653077,61.80100876524323,0.028907258544899114
Gaussian-Hutch++,0.5,40,27,62.022781212912435,61.80100876524323,0.003588492357974698
Hutchinson,0.5,40,28,61.463341016819754,61.80100876524323,0.005463790238540269
Hutch++,0.5,40,28,60.682266898875376,61.80100876524323,0.018102323711535175
NA-Hutch++,0.5,40,28,61.502719163135474,61.80100876524323,0.004826613805623111
Gaussian-Hutch++,0.5,40,28,61.76142949143017,61.80100876524323,0.0006404308700430183
Hutchinson,0.5,40,29,61.792128054167236,61.80100876524323,0.0001436984808731853
Hutch++,0.5,40,29,60.293319227371576,61.80100876524323,0.024395872624001204
NA-Hutch++,0.5,40,29,60.779963242625875,61.80100876524323,0.01652150252912361
Gaussian-Hutch++,0.5,40,29,61.10739391622386,61.80100876524323,0.011223358046696746
Hutchinson,0.5,40,30,61.30276082427309,61.80100876524323,0.008062132818297168
Hutch++,0.5,40,30,60.14443791584507,61.80100876524323,0.0268049160118211
NA-Hutch++,0.5,40,30,62.59646114948559,61.80100876524323,0.012871187706077068
Gaussian-Hutch++,0.5,40,30,61.802721176476936,61.80100876524323,2.770846735219337e-05
Hutchinson,0.5,40,31,61.31648943599765,61.80100876524323,0.007839990623552276
Hutch++,0.5,40,31,61.993645374345235,61.80100876524323,0.0031170463549187455
NA-Hutch++,0.5,40,31,62.87313590280457,61.80100876524323,0.017348052385907017
Gaussian-Hutch++,0.5,40,31,61.57431940223363,61.80100876524323,0.0036680527962044307
Hutchinson,0.5,40,32,61.270310980218554,61.80100876524323,0.008587202630309515
Hutch++,0.5,40,32,59.99472764583733,61.80100876524323,0.0292273727483515
NA-Hutch++,0.5,40,32,60.964578154507464,61.80100876524323,0.013534254981387533
Gaussian-Hutch++,0.5,40,32,61.55980066456362,61.80100876524323,0.003902979991732259
Hutchinson,0.5,40,33,62.05561581257324,61.80100876524323,0.004119787887235837
