setup_index,spectrum_family,setup_name,matrix_seed,risk_name,q,bootstrap_count,bootstrap_frequency,bootstrap_samples,bootstrap_seed
1,power,power_c_0.7,42001,gaussian_risk,30,19,0.00095,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,31,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,32,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,33,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,34,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,35,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,36,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,37,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,38,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,39,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,40,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,41,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,42,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,43,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,44,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,45,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,46,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,47,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,48,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,49,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,50,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,51,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,52,0,0.0,20000,20260816
