matrix_name,family,param,q,mse,rmse,rel_rmse
PowerLaw (alpha=1.5),Power Law Sweep,1.5,10,0.00045895865195609293,0.0214233202831889,0.008878755959417147
PowerLaw (alpha=1.5),Power Law Sweep,1.5,12,0.0002753850586526702,0.016594729845727234,0.006877578011485359
PowerLaw (alpha=1.5),Power Law Sweep,1.5,14,0.00021709480872318052,0.014734137528989626,0.006106467609273663
PowerLaw (alpha=1.5),Power Law Sweep,1.5,16,0.0001943205902956209,0.013939892047488061,0.005777297727625771
PowerLaw (alpha=1.5),Power Law Sweep,1.5,18,0.00021049552006853747,0.014508463739091657,0.006012938572669884
PowerLaw (alpha=1.5),Power Law Sweep,1.5,20,0.0001222049985095389,0.01105463696869051,0.004581522498264399
PowerLaw (alpha=1.5),Power Law Sweep,1.5,22,0.0001690739989774693,0.01300284580303363,0.005388944997179601
PowerLaw (alpha=1.5),Power Law Sweep,1.5,24,0.00013333535422358124,0.011547092890575586,0.0047856176568761314
PowerLaw (alpha=1.5),Power Law Sweep,1.5,26,0.00017727352889113524,0.013314410572426225,0.0055180709924231896
PowerLaw (alpha=1.5),Power Law Sweep,1.5,28,0.00031250257623332704,0.01767774239639573,0.0073264255295760585
PowerLaw (alpha=2.0),Power Law Sweep,2.0,2,0.0025347834067377026,0.05034663252629418,0.03079335063825442
PowerLaw (alpha=2.0),Power Law Sweep,2.0,4,0.0005008691098828978,0.022380105225018442,0.013688272540474297
PowerLaw (alpha=2.0),Power Law Sweep,2.0,6,0.00011724331241848747,0.010827895105628215,0.006622631026766524
PowerLaw (alpha=2.0),Power Law Sweep,2.0,8,7.091478352286949e-05,0.008421091587369745,0.005150565449860051
PowerLaw (alpha=2.0),Power Law Sweep,2.0,10,2.7074623379514884e-05,0.005203328106079309,0.0031824950114131933
PowerLaw (alpha=2.0),Power Law Sweep,2.0,12,2.0403038224716264e-05,0.004516972240861821,0.0027627013577020644
PowerLaw (alpha=2.0),Power Law Sweep,2.0,14,1.72987937183217e-05,0.004159181856846572,0.0025438671636926996
PowerLaw (alpha=2.0),Power Law Sweep,2.0,16,9.190963973243829e-06,0.003031660266791751,0.0018542447215834442
PowerLaw (alpha=2.0),Power Law Sweep,2.0,18,1.0551410335586784e-05,0.003248293449734304,0.001986743385893261
PowerLaw (alpha=2.0),Power Law Sweep,2.0,20,7.52769020548211e-06,0.0027436636465649556,0.001678098265221258
PowerLaw (alpha=2.0),Power Law Sweep,2.0,22,4.747959047642954e-06,0.0021789811948805236,0.0013327233342384057
PowerLaw (alpha=2.0),Power Law Sweep,2.0,24,6.320270557192728e-06,0.0025140148283557774,0.0015376388893318634
PowerLaw (alpha=2.0),Power Law Sweep,2.0,26,1.027992060052725e-05,0.0032062315263447915,0.0019610171855406117
PowerLaw (alpha=2.0),Power Law Sweep,2.0,28,1.6089122669576138e-05,0.0040111248633738815,0.002453311535924165
PowerLaw (alpha=2.5),Power Law Sweep,2.5,2,0.0010791200141363362,0.03284996216339276,0.024499802885980047
PowerLaw (alpha=2.5),Power Law Sweep,2.5,4,6.353394997658727e-05,0.007970818651593277,0.0059447096113111495
PowerLaw (alpha=2.5),Power Law Sweep,2.5,6,1.4947604322554051e-05,0.0038662131760359582,0.0028834572246057336
PowerLaw (alpha=2.5),Power Law Sweep,2.5,8,5.182581644488246e-06,0.0022765284194334683,0.001697855761995534
PowerLaw (alpha=2.5),Power Law Sweep,2.5,10,3.017698671189685e-06,0.0017371524605484933,0.0012955842279100422
PowerLaw (alpha=2.5),Power Law Sweep,2.5,12,9.425946781335448e-07,0.000970873152442452,0.0007240860961671647
PowerLaw (alpha=2.5),Power Law Sweep,2.5,14,9.595822067475364e-07,0.000979582669685176,0.0007305817339586921
PowerLaw (alpha=2.5),Power Law Sweep,2.5,16,4.828525842301257e-07,0.0006948759488067821,0.0005182448518904547
PowerLaw (alpha=2.5),Power Law Sweep,2.5,18,2.9714280552920843e-07,0.0005451080677528158,0.0004065465934199459
PowerLaw (alpha=2.5),Power Law Sweep,2.5,20,2.8710145549504005e-07,0.0005358184911843189,0.0003996183420664019
PowerLaw (alpha=2.5),Power Law Sweep,2.5,22,2.710935958318361e-07,0.0005206664919426217,0.0003883178421479034
