alpha,trial,extrapolation_dist,target_q,alpha_hat,delta_alpha,loss_pilot,log_tail_error,theoretical_exponent
0.05,32,10,20,0.09039617511621079,0.040396175116210783,0.0023382532349477316,2.0685746886401573,1.6158470046484315
0.05,32,20,30,0.09039617511621079,0.040396175116210783,0.0023382532349477316,2.8764981909643725,2.423770506972647
0.05,32,30,40,0.09039617511621079,0.040396175116210783,0.0023382532349477316,3.6844216932885883,3.231694009296863
0.05,32,40,50,0.09039617511621079,0.040396175116210783,0.0023382532349477316,4.492345195612804,4.039617511621079
0.05,32,50,60,0.09039617511621079,0.040396175116210783,0.0023382532349477316,5.300268697937019,4.847541013945294
0.05,32,60,70,0.09039617511621079,0.040396175116210783,0.0023382532349477316,6.108192200261235,5.65546451626951
0.05,32,70,80,0.09039617511621079,0.040396175116210783,0.0023382532349477316,6.91611570258545,6.463388018593726
0.05,33,10,20,0.07727451296962795,0.027274512969627948,0.00043206112756361237,1.3996255809146887,1.090980518785118
0.05,33,20,30,0.07727451296962795,0.027274512969627948,0.00043206112756361237,1.9451158403072477,1.6364707781776768
0.05,33,30,40,0.07727451296962795,0.027274512969627948,0.00043206112756361237,2.4906060996998067,2.181961037570236
0.05,33,40,50,0.07727451296962795,0.027274512969627948,0.00043206112756361237,3.0360963590923657,2.7274512969627946
0.05,33,50,60,0.07727451296962795,0.027274512969627948,0.00043206112756361237,3.5815866184849248,3.2729415563553537
0.05,33,60,70,0.07727451296962795,0.027274512969627948,0.00043206112756361237,4.1270768778774825,3.8184318157479127
0.05,33,70,80,0.07727451296962795,0.027274512969627948,0.00043206112756361237,4.672567137270042,4.363922075140472
0.05,34,10,20,0.09690926985851776,0.04690926985851776,0.002738984354260824,2.392361810330831,1.8763707943407104
0.05,34,20,30,0.09690926985851776,0.04690926985851776,0.002738984354260824,3.3305472075011857,2.8145561915110657
0.05,34,30,40,0.09690926985851776,0.04690926985851776,0.002738984354260824,4.268732604671541,3.752741588681421
0.05,34,40,50,0.09690926985851776,0.04690926985851776,0.002738984354260824,5.206918001841897,4.690926985851776
0.05,34,50,60,0.09690926985851776,0.04690926985851776,0.002738984354260824,6.145103399012251,5.6291123830221315
0.05,34,60,70,0.09690926985851776,0.04690926985851776,0.002738984354260824,7.0832887961826065,6.567297780192487
0.05,34,70,80,0.09690926985851776,0.04690926985851776,0.002738984354260824,8.021474193352962,7.505483177362842
0.05,35,10,20,0.09854653291918096,0.04854653291918096,0.0015290871084425175,2.473022044745677,1.9418613167672383
0.05,35,20,30,0.09854653291918096,0.04854653291918096,0.0015290871084425175,3.443952703129296,2.9127919751508573
